# repo	schema	role	shell_login_role
mdm-customer	mdm_customer	mdm_customer_rw	shell_go_core
mdm-supplier	mdm_supplier	mdm_supplier_rw	shell_go_core
mdm-product	mdm_product	mdm_product_rw	shell_go_core
mdm-org	mdm_org	mdm_org_rw	shell_go_core
erp-sales	erp_sales	erp_sales_rw	shell_go_core
erp-purchase	erp_purchase	erp_purchase_rw	shell_go_core
erp-inventory	erp_inventory	erp_inventory_rw	shell_go_core
erp-finance	erp_finance	erp_finance_rw	shell_go_core
crm-lead	crm_lead	crm_lead_rw	shell_go_backoffice
crm-customer	crm_customer	crm_customer_rw	shell_go_backoffice
crm-opportunity	crm_opportunity	crm_opportunity_rw	shell_go_backoffice
crm-activity	crm_activity	crm_activity_rw	shell_go_backoffice
crm-campaign	crm_campaign	crm_campaign_rw	shell_go_backoffice
crm-case	crm_case	crm_case_rw	shell_go_backoffice
hrm-attendance	hrm_attendance	hrm_attendance_rw	shell_go_backoffice
hrm-leave	hrm_leave	hrm_leave_rw	shell_go_backoffice
hrm-expense	hrm_expense	hrm_expense_rw	shell_go_backoffice
hrm-recruitment	hrm_recruitment	hrm_recruitment_rw	shell_go_backoffice
hrm-appraisal	hrm_appraisal	hrm_appraisal_rw	shell_go_backoffice
prj-project	prj_project	prj_project_rw	shell_go_backoffice
prj-timesheet	prj_timesheet	prj_timesheet_rw	shell_go_backoffice
erp-asset	erp_asset	erp_asset_rw	shell_go_backoffice
erp-quality	erp_quality	erp_quality_rw	shell_go_backoffice
erp-maintenance	erp_maintenance	erp_maintenance_rw	shell_go_backoffice
infra-iam-casdoor	infra_iam_casdoor	infra_iam_casdoor_rw	shell_go_infra
infra-iam-keycloak	infra_iam_keycloak	infra_iam_keycloak_rw	shell_go_infra
infra-authz	infra_authz	infra_authz_rw	shell_go_infra
infra-workflow	infra_workflow	infra_workflow_rw	shell_go_infra
infra-notification	infra_notification	infra_notification_rw	shell_go_infra
infra-dlq-monitor	infra_dlq_monitor	infra_dlq_monitor_rw	shell_go_infra
infra-attachment	infra_attachment	infra_attachment_rw	shell_go_infra
infra-storage	infra_storage	infra_storage_rw	shell_go_infra
infra-audit	infra_audit	infra_audit_rw	shell_go_infra
integration-im-dingtalk	integration_im_dingtalk	integration_im_dingtalk_rw	shell_go_infra
integration-im-wechat-work	integration_im_wechat_work	integration_im_wechat_work_rw	shell_go_infra
integration-im-feishu	integration_im_feishu	integration_im_feishu_rw	shell_go_infra
integration-im-slack	integration_im_slack	integration_im_slack_rw	shell_go_infra
integration-im-teams	integration_im_teams	integration_im_teams_rw	shell_go_infra
integration-payment-stripe	integration_payment_stripe	integration_payment_stripe_rw	shell_go_infra
integration-payment-paypal	integration_payment_paypal	integration_payment_paypal_rw	shell_go_infra
integration-payment-alipay	integration_payment_alipay	integration_payment_alipay_rw	shell_go_infra
integration-payment-wechat-pay	integration_payment_wechat_pay	integration_payment_wechat_pay_rw	shell_go_infra
integration-esign-docusign	integration_esign_docusign	integration_esign_docusign_rw	shell_go_infra
integration-esign-pandadoc	integration_esign_pandadoc	integration_esign_pandadoc_rw	shell_go_infra
integration-esign-esign	integration_esign_esign	integration_esign_esign_rw	shell_go_infra
integration-email	integration_email	integration_email_rw	shell_go_infra
integration-sms	integration_sms	integration_sms_rw	shell_go_infra
hrm-payroll-es	hrm_payroll_es	hrm_payroll_es_rw	shell_py_brain
crm-commission	crm_commission	crm_commission_rw	shell_py_brain
erp-manufacturing	erp_manufacturing	erp_manufacturing_rw	shell_py_brain
ana-bi	ana_bi	ana_bi_rw	shell_py_brain
ana-ai	ana_ai	ana_ai_rw	shell_py_brain
infra-print	infra_print	infra_print_rw	shell_py_render
integration-edi	integration_edi	integration_edi_rw	shell_py_render
# 以下不建 schema
# infra-bff-mobile   严禁直连DB（§6.5）
# frontend-*         无数据
# hrm-payroll-core/cn/us  blueprint不开发
# 非组件 schema：casdoor（Casdoor官方镜像自用）、keycloak（换槽时用）
